Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value
"QCL","Crops and livestock products","012","Algeria","5320","Producing Animals/Slaughtered","21118.01","Horse meat, fresh or chilled","2022","2022","An","120"
"QCL","Crops and livestock products","012","Algeria","5510","Production","21118.01","Horse meat, fresh or chilled","2023","2023","t","16"
"QCL","Crops and livestock products","012","Algeria","5320","Producing Animals/Slaughtered","21118.01","Horse meat, fresh or chilled","2023","2023","An","120"
"QCL","Crops and livestock products","012","Algeria","5510","Production","21111.01","Meat of cattle with the bone, fresh or chilled","2022","2022","t","140000"
"QCL","Crops and livestock products","012","Algeria","5320","Producing Animals/Slaughtered","21111.01","Meat of cattle with the bone, fresh or chilled","2022","2022","An","636431"
"QCL","Crops and livestock products","012","Algeria","5510","Production","21111.01","Meat of cattle with the bone, fresh or chilled","2023","2023","t","138000"
"QCL","Crops and livestock products","012","Algeria","5320","Producing Animals/Slaughtered","21111.01","Meat of cattle with the bone, fresh or chilled","2023","2023","An","660006"
"QCL","Crops and livestock products","012","Algeria","5510","Production","21121","Meat of chickens, fresh or chilled","2022","2022","t","407744.31"
"QCL","Crops and livestock products","012","Algeria","5321","Producing Animals/Slaughtered","21121","Meat of chickens, fresh or chilled","2022","2022","1000 An","372298"
"QCL","Crops and livestock products","012","Algeria","5510","Production","21121","Meat of chickens, fresh or chilled","2023","2023","t","421271.41"
"QCL","Crops and livestock products","012","Algeria","5321","Producing Animals/Slaughtered","21121","Meat of chickens, fresh or chilled","2023","2023","1000 An","374631"
"QCL","Crops and livestock products","012","Algeria","5510","Production","21116","Meat of goat, fresh or chilled","2022","2022","t","38872.83"
"QCL","Crops and livestock products","012","Algeria","5320","Producing Animals/Slaughtered","21116","Meat of goat, fresh or chilled","2022","2022","An","1867267"
"QCL","Crops and livestock products","012","Algeria","5510","Production","21116","Meat of goat, fresh or chilled","2023","2023","t","38897.85"
"QCL","Crops and livestock products","012","Algeria","5320","Producing Animals/Slaughtered","21116","Meat of goat, fresh or chilled","2023","2023","An","1858971"
"QCL","Crops and livestock products","012","Algeria","5510","Production","21113.01","Meat of pig with the bone, fresh or chilled","2022","2022","t","108"
"QCL","Crops and livestock products","012","Algeria","5320","Producing Animals/Slaughtered","21113.01","Meat of pig with the bone, fresh or chilled","2022","2022","An","2808"
"QCL","Crops and livestock products","012","Algeria","5510","Production","21113.01","Meat of pig with the bone, fresh or chilled","2023","2023","t","106.59"
"QCL","Crops and livestock products","012","Algeria","5320","Producing Animals/Slaughtered","21113.01","Meat of pig with the bone, fresh or chilled","2023","2023","An","2760"
"QCL","Crops and livestock products","012","Algeria","5510","Production","21115","Meat of sheep, fresh or chilled","2022","2022","t","346058.26"
"QCL","Crops and livestock products","012","Algeria","5320","Producing Animals/Slaughtered","21115","Meat of sheep, fresh or chilled","2022","2022","An","17923434"
"QCL","Crops and livestock products","012","Algeria","5510","Production","21115","Meat of sheep, fresh or chilled","2023","2023","t","360039.13"
"QCL","Crops and livestock products","012","Algeria","5320","Producing Animals/Slaughtered","21115","Meat of sheep, fresh or chilled","2023","2023","An","18326415"
"QCL","Crops and livestock products","012","Algeria","5510","Production","21124","Meat of turkeys, fresh or chilled","2022","2022","t","35526.94"
"QCL","Crops and livestock products","012","Algeria","5321","Producing Animals/Slaughtered","21124","Meat of turkeys, fresh or chilled","2022","2022","1000 An","7390"
"QCL","Crops and livestock products","012","Algeria","5510","Production","21124","Meat of turkeys, fresh or chilled","2023","2023","t","36822.49"
"QCL","Crops and livestock products","012","Algeria","5321","Producing Animals/Slaughtered","21124","Meat of turkeys, fresh or chilled","2023","2023","1000 An","7185"
"QCL","Crops and livestock products","012","Algeria","5510","Production","02954","Raw hides and skins of goats or kids","2022","2022","t","7774.57"
"QCL","Crops and livestock products","012","Algeria","5320","Producing Animals/Slaughtered","02954","Raw hides and skins of goats or kids","2022","2022","An","1867267"
"QCL","Crops and livestock products","012","Algeria","5510","Production","02954","Raw hides and skins of goats or kids","2023","2023","t","7779.57"
"QCL","Crops and livestock products","012","Algeria","5320","Producing Animals/Slaughtered","02954","Raw hides and skins of goats or kids","2023","2023","An","1858971"
"QCL","Crops and livestock products","012","Algeria","5510","Production","02953","Raw hides and skins of sheep or lambs","2022","2022","t","54380.58"
"QCL","Crops and livestock products","012","Algeria","5320","Producing Animals/Slaughtered","02953","Raw hides and skins of sheep or lambs","2022","2022","An","17923434"
"QCL","Crops and livestock products","012","Algeria","5510","Production","02953","Raw hides and skins of sheep or lambs","2023","2023","t","56577.58"
"QCL","Crops and livestock products","012","Algeria","5320","Producing Animals/Slaughtered","02953","Raw hides and skins of sheep or lambs","2023","2023","An","18326415"
"QCL","Crops and livestock products","012","Algeria","5510","Production","02211","Raw milk of cattle","2022","2022","t","2433986.67"
"QCL","Crops and livestock products","012","Algeria","5318","Milk Animals","02211","Raw milk of cattle","2022","2022","An","937688"
"QCL","Crops and livestock products","012","Algeria","5510","Production","02211","Raw milk of cattle","2023","2023","t","2419276.56"
"QCL","Crops and livestock products","012","Algeria","5318","Milk Animals","02211","Raw milk of cattle","2023","2023","An","972288"
"QCL","Crops and livestock products","012","Algeria","5510","Production","02292","Raw milk of goats","2022","2022","t","324463.67"
"QCL","Crops and livestock products","012","Algeria","5318","Milk Animals","02292","Raw milk of goats","2022","2022","An","2814773"
"QCL","Crops and livestock products","012","Algeria","5510","Production","02292","Raw milk of goats","2023","2023","t","323791.22"
"QCL","Crops and livestock products","012","Algeria","5318","Milk Animals","02292","Raw milk of goats","2023","2023","An","2809392"
"QCL","Crops and livestock products","012","Algeria","5510","Production","02291","Raw milk of sheep","2022","2022","t","547145.33"
"QCL","Crops and livestock products","012","Algeria","5318","Milk Animals","02291","Raw milk of sheep","2022","2022","An","19031446"
"QCL","Crops and livestock products","012","Algeria","5510","Production","02291","Raw milk of sheep","2023","2023","t","554786.44"
"QCL","Crops and livestock products","012","Algeria","5318","Milk Animals","02291","Raw milk of sheep","2023","2023","An","19228746"
"QCL","Crops and livestock products","012","Algeria","5510","Production","22110.02","Skim milk of cows","2022","2022","t","95778.38"
"QCL","Crops and livestock products","024","Angola","5510","Production","21111.01","Meat of cattle with the bone, fresh or chilled","2022","2022","t","100462"
"QCL","Crops and livestock products","024","Angola","5320","Producing Animals/Slaughtered","21111.01","Meat of cattle with the bone, fresh or chilled","2022","2022","An","633131"
"QCL","Crops and livestock products","024","Angola","5510","Production","21111.01","Meat of cattle with the bone, fresh or chilled","2023","2023","t","105926"
"QCL","Crops and livestock products","024","Angola","5320","Producing Animals/Slaughtered","21111.01","Meat of cattle with the bone, fresh or chilled","2023","2023","An","637360"
"QCL","Crops and livestock products","024","Angola","5510","Production","21121","Meat of chickens, fresh or chilled","2022","2022","t","57177.38"
"QCL","Crops and livestock products","024","Angola","5321","Producing Animals/Slaughtered","21121","Meat of chickens, fresh or chilled","2022","2022","1000 An","54707"
"QCL","Crops and livestock products","024","Angola","5510","Production","21121","Meat of chickens, fresh or chilled","2023","2023","t","60236.37"
"QCL","Crops and livestock products","024","Angola","5321","Producing Animals/Slaughtered","21121","Meat of chickens, fresh or chilled","2023","2023","1000 An","58876"
"QCL","Crops and livestock products","024","Angola","5510","Production","21116","Meat of goat, fresh or chilled","2022","2022","t","18811.46"
"QCL","Crops and livestock products","024","Angola","5320","Producing Animals/Slaughtered","21116","Meat of goat, fresh or chilled","2022","2022","An","1274123"
"QCL","Crops and livestock products","024","Angola","5510","Production","21116","Meat of goat, fresh or chilled","2023","2023","t","18904.36"
"QCL","Crops and livestock products","024","Angola","5320","Producing Animals/Slaughtered","21116","Meat of goat, fresh or chilled","2023","2023","An","1281954"
"QCL","Crops and livestock products","024","Angola","5510","Production","21113.01","Meat of pig with the bone, fresh or chilled","2022","2022","t","171292.84"
"QCL","Crops and livestock products","024","Angola","5320","Producing Animals/Slaughtered","21113.01","Meat of pig with the bone, fresh or chilled","2022","2022","An","1851448"
"QCL","Crops and livestock products","024","Angola","5510","Production","21113.01","Meat of pig with the bone, fresh or chilled","2023","2023","t","179370.55"
"QCL","Crops and livestock products","024","Angola","5320","Producing Animals/Slaughtered","21113.01","Meat of pig with the bone, fresh or chilled","2023","2023","An","1976904"
"QCL","Crops and livestock products","024","Angola","5510","Production","21115","Meat of sheep, fresh or chilled","2022","2022","t","4720.72"
"QCL","Crops and livestock products","024","Angola","5320","Producing Animals/Slaughtered","21115","Meat of sheep, fresh or chilled","2022","2022","An","288137"
"QCL","Crops and livestock products","024","Angola","5510","Production","21115","Meat of sheep, fresh or chilled","2023","2023","t","4800.59"
"QCL","Crops and livestock products","024","Angola","5320","Producing Animals/Slaughtered","21115","Meat of sheep, fresh or chilled","2023","2023","An","294228"
"QCL","Crops and livestock products","024","Angola","5510","Production","21521","Pig fat, rendered","2022","2022","t","6003.24"
"QCL","Crops and livestock products","024","Angola","5510","Production","02954","Raw hides and skins of goats or kids","2022","2022","t","1254.1"
"QCL","Crops and livestock products","024","Angola","5320","Producing Animals/Slaughtered","02954","Raw hides and skins of goats or kids","2022","2022","An","1274123"
"QCL","Crops and livestock products","024","Angola","5510","Production","02954","Raw hides and skins of goats or kids","2023","2023","t","1260.29"
"QCL","Crops and livestock products","024","Angola","5320","Producing Animals/Slaughtered","02954","Raw hides and skins of goats or kids","2023","2023","An","1281954"
"QCL","Crops and livestock products","024","Angola","5510","Production","02953","Raw hides and skins of sheep or lambs","2022","2022","t","639.92"
"QCL","Crops and livestock products","024","Angola","5320","Producing Animals/Slaughtered","02953","Raw hides and skins of sheep or lambs","2022","2022","An","288137"
"QCL","Crops and livestock products","024","Angola","5510","Production","02953","Raw hides and skins of sheep or lambs","2023","2023","t","650.75"
"QCL","Crops and livestock products","024","Angola","5320","Producing Animals/Slaughtered","02953","Raw hides and skins of sheep or lambs","2023","2023","An","294228"
"QCL","Crops and livestock products","024","Angola","5510","Production","02211","Raw milk of cattle","2022","2022","t","220417.02"
"QCL","Crops and livestock products","024","Angola","5318","Milk Animals","02211","Raw milk of cattle","2022","2022","An","443889"
"QCL","Crops and livestock products","024","Angola","5510","Production","02211","Raw milk of cattle","2023","2023","t","221604.28"
"QCL","Crops and livestock products","024","Angola","5318","Milk Animals","02211","Raw milk of cattle","2023","2023","An","446402"
"QCL","Crops and livestock products","024","Angola","5510","Production","22110.02","Skim milk of cows","2022","2022","t","11047.38"
"QCL","Crops and livestock products","028","Antigua and Barbuda","5510","Production","21111.01","Meat of cattle with the bone, fresh or chilled","2022","2022","t","62.68"
"QCL","Crops and livestock products","028","Antigua and Barbuda","5320","Producing Animals/Slaughtered","21111.01","Meat of cattle with the bone, fresh or chilled","2022","2022","An","394"
"QCL","Crops and livestock products","028","Antigua and Barbuda","5510","Production","21111.01","Meat of cattle with the bone, fresh or chilled","2023","2023","t","39.61"
"QCL","Crops and livestock products","028","Antigua and Barbuda","5320","Producing Animals/Slaughtered","21111.01","Meat of cattle with the bone, fresh or chilled","2023","2023","An","249"
"QCL","Crops and livestock products","028","Antigua and Barbuda","5510","Production","21121","Meat of chickens, fresh or chilled","2022","2022","t","88.31"
"QCL","Crops and livestock products","028","Antigua and Barbuda","5321","Producing Animals/Slaughtered","21121","Meat of chickens, fresh or chilled","2022","2022","1000 An","74"
"QCL","Crops and livestock products","028","Antigua and Barbuda","5510","Production","21121","Meat of chickens, fresh or chilled","2023","2023","t","17.06"
"QCL","Crops and livestock products","028","Antigua and Barbuda","5321","Producing Animals/Slaughtered","21121","Meat of chickens, fresh or chilled","2023","2023","1000 An","14"
"QCL","Crops and livestock products","028","Antigua and Barbuda","5510","Production","21116","Meat of goat, fresh or chilled","2022","2022","t","2.63"
"QCL","Crops and livestock products","028","Antigua and Barbuda","5320","Producing Animals/Slaughtered","21116","Meat of goat, fresh or chilled","2022","2022","An","165"
"QCL","Crops and livestock products","028","Antigua and Barbuda","5510","Production","21116","Meat of goat, fresh or chilled","2023","2023","t","1.38"
"QCL","Crops and livestock products","028","Antigua and Barbuda","5320","Producing Animals/Slaughtered","21116","Meat of goat, fresh or chilled","2023","2023","An","88"
"QCL","Crops and livestock products","028","Antigua and Barbuda","5510","Production","21113.01","Meat of pig with the bone, fresh or chilled","2022","2022","t","54.57"
"QCL","Crops and livestock products","028","Antigua and Barbuda","5320","Producing Animals/Slaughtered","21113.01","Meat of pig with the bone, fresh or chilled","2022","2022","An","1079"
"QCL","Crops and livestock products","028","Antigua and Barbuda","5510","Production","21113.01","Meat of pig with the bone, fresh or chilled","2023","2023","t","44.09"
"QCL","Crops and livestock products","028","Antigua and Barbuda","5320","Producing Animals/Slaughtered","21113.01","Meat of pig with the bone, fresh or chilled","2023","2023","An","895"
"QCL","Crops and livestock products","028","Antigua and Barbuda","5510","Production","21115","Meat of sheep, fresh or chilled","2022","2022","t","3.63"
"QCL","Crops and livestock products","028","Antigua and Barbuda","5320","Producing Animals/Slaughtered","21115","Meat of sheep, fresh or chilled","2022","2022","An","228"
"QCL","Crops and livestock products","028","Antigua and Barbuda","5510","Production","21115","Meat of sheep, fresh or chilled","2023","2023","t","2.26"
"QCL","Crops and livestock products","028","Antigua and Barbuda","5320","Producing Animals/Slaughtered","21115","Meat of sheep, fresh or chilled","2023","2023","An","142"
"QCL","Crops and livestock products","028","Antigua and Barbuda","5510","Production","02954","Raw hides and skins of goats or kids","2022","2022","t","0.64"
"QCL","Crops and livestock products","028","Antigua and Barbuda","5320","Producing Animals/Slaughtered","02954","Raw hides and skins of goats or kids","2022","2022","An","165"
"QCL","Crops and livestock products","028","Antigua and Barbuda","5510","Production","02954","Raw hides and skins of goats or kids","2023","2023","t","0.34"
"QCL","Crops and livestock products","028","Antigua and Barbuda","5320","Producing Animals/Slaughtered","02954","Raw hides and skins of goats or kids","2023","2023","An","88"
"QCL","Crops and livestock products","028","Antigua and Barbuda","5510","Production","02953","Raw hides and skins of sheep or lambs","2022","2022","t","0.87"
"QCL","Crops and livestock products","028","Antigua and Barbuda","5320","Producing Animals/Slaughtered","02953","Raw hides and skins of sheep or lambs","2022","2022","An","228"
"QCL","Crops and livestock products","028","Antigua and Barbuda","5510","Production","02953","Raw hides and skins of sheep or lambs","2023","2023","t","0.54"
"QCL","Crops and livestock products","028","Antigua and Barbuda","5320","Producing Animals/Slaughtered","02953","Raw hides and skins of sheep or lambs","2023","2023","An","142"
"QCL","Crops and livestock products","028","Antigua and Barbuda","5510","Production","02211","Raw milk of cattle","2022","2022","t","2329.83"
"QCL","Crops and livestock products","028","Antigua and Barbuda","5318","Milk Animals","02211","Raw milk of cattle","2022","2022","An","2446"
"QCL","Crops and livestock products","028","Antigua and Barbuda","5510","Production","02211","Raw milk of cattle","2023","2023","t","2251.34"
"QCL","Crops and livestock products","028","Antigua and Barbuda","5318","Milk Animals","02211","Raw milk of cattle","2023","2023","An","2357"
"QCL","Crops and livestock products","032","Argentina","5510","Production","21118.01","Horse meat, fresh or chilled","2022","2022","t","22091"
"QCL","Crops and livestock products","032","Argentina","5320","Producing Animals/Slaughtered","21118.01","Horse meat, fresh or chilled","2022","2022","An","96542"
"QCL","Crops and livestock products","032","Argentina","5510","Production","21118.01","Horse meat, fresh or chilled","2023","2023","t","19415"
"QCL","Crops and livestock products","032","Argentina","5320","Producing Animals/Slaughtered","21118.01","Horse meat, fresh or chilled","2023","2023","An","87345"
"QCL","Crops and livestock products","032","Argentina","5510","Production","21111.01","Meat of cattle with the bone, fresh or chilled","2022","2022","t","3150850.63"
"QCL","Crops and livestock products","032","Argentina","5320","Producing Animals/Slaughtered","21111.01","Meat of cattle with the bone, fresh or chilled","2022","2022","An","13580234"
"QCL","Crops and livestock products","032","Argentina","5510","Production","21111.01","Meat of cattle with the bone, fresh or chilled","2023","2023","t","3287045.86"
"QCL","Crops and livestock products","032","Argentina","5320","Producing Animals/Slaughtered","21111.01","Meat of cattle with the bone, fresh or chilled","2023","2023","An","14517001"
"QCL","Crops and livestock products","032","Argentina","5510","Production","21121","Meat of chickens, fresh or chilled","2022","2022","t","2319469"
"QCL","Crops and livestock products","032","Argentina","5321","Producing Animals/Slaughtered","21121","Meat of chickens, fresh or chilled","2022","2022","1000 An","751692"
"QCL","Crops and livestock products","032","Argentina","5510","Production","21121","Meat of chickens, fresh or chilled","2023","2023","t","2287016"
